date,year,month,quarter,week,day_of_week,is_weekend,season,holiday,is_holiday,promotion_event,Avg_Temperature_C,iso_week,is_peak_season
2024-01-31,2024,1,Q1,5,Wednesday,0,Winter,,0,,20.4,5,0
2024-02-01,2024,2,Q1,5,Thursday,0,Winter,,0,,15.9,5,0
2024-02-02,2024,2,Q1,5,Friday,0,Winter,,0,,15.8,5,0
2024-02-03,2024,2,Q1,5,Saturday,1,Winter,,0,,15.4,5,0
2024-02-04,2024,2,Q1,5,Sunday,1,Winter,,0,,18.1,5,0
2024-02-05,2024,2,Q1,6,Monday,0,Winter,,0,,19.2,6,0
2024-02-06,2024,2,Q1,6,Tuesday,0,Winter,,0,,17.1,6,0
2024-02-07,2024,2,Q1,6,Wednesday,0,Winter,,0,,15.9,6,0
2024-02-08,2024,2,Q1,6,Thursday,0,Winter,,0,,16.0,6,0
2024-02-09,2024,2,Q1,6,Friday,0,Winter,,0,,18.8,6,0
2024-02-10,2024,2,Q1,6,Saturday,1,Winter,,0,,19.1,6,0
2024-02-11,2024,2,Q1,6,Sunday,1,Winter,,0,,18.9,6,0
2024-02-12,2024,2,Q1,7,Monday,0,Winter,,0,,16.9,7,0
2024-02-13,2024,2,Q1,7,Tuesday,0,Winter,,0,,18.6,7,0
2024-02-14,2024,2,Q1,7,Wednesday,0,Winter,,0,,18.5,7,0
2024-02-15,2024,2,Q1,7,Thursday,0,Winter,,0,,18.9,7,0
2024-02-16,2024,2,Q1,7,Friday,0,Winter,,0,,20.2,7,0
2024-02-17,2024,2,Q1,7,Saturday,1,Winter,,0,,19.2,7,0
2024-02-18,2024,2,Q1,7,Sunday,1,Winter,,0,,20.1,7,0
2024-02-19,2024,2,Q1,8,Monday,0,Winter,,0,,19.2,8,0
2024-02-20,2024,2,Q1,8,Tuesday,0,Winter,,0,,19.7,8,0
2024-02-21,2024,2,Q1,8,Wednesday,0,Winter,,0,,20.5,8,0
2024-02-22,2024,2,Q1,8,Thursday,0,Winter,,0,,16.9,8,0
2024-02-23,2024,2,Q1,8,Friday,0,Winter,,0,,19.1,8,0
2024-02-24,2024,2,Q1,8,Saturday,1,Winter,,0,,19.0,8,0
2024-02-25,2024,2,Q1,8,Sunday,1,Winter,,0,,18.8,8,0
2024-02-26,2024,2,Q1,9,Monday,0,Winter,,0,,19.6,9,0
2024-02-27,2024,2,Q1,9,Tuesday,0,Winter,,0,,23.0,9,0
2024-02-28,2024,2,Q1,9,Wednesday,0,Winter,,0,,18.9,9,0
2024-02-29,2024,2,Q1,9,Thursday,0,Winter,,0,,22.4,9,0
2024-03-01,2024,3,Q1,9,Friday,0,Spring,,0,,17.8,9,0
2024-03-02,2024,3,Q1,9,Saturday,1,Spring,,0,Seasonal Promotion,20.3,9,0
2024-03-03,2024,3,Q1,9,Sunday,1,Spring,,0,Seasonal Promotion,21.4,9,0
2024-03-04,2024,3,Q1,10,Monday,0,Spring,,0,,22.3,10,0
2024-03-05,2024,3,Q1,10,Tuesday,0,Spring,,0,,22.7,10,0
2024-03-06,2024,3,Q1,10,Wednesday,0,Spring,,0,,23.0,10,0
2024-03-07,2024,3,Q1,10,Thursday,0,Spring,,0,,21.2,10,0
2024-03-08,2024,3,Q1,10,Friday,0,Spring,,0,,21.1,10,0
2024-03-09,2024,3,Q1,10,Saturday,1,Spring,,0,Seasonal Promotion,23.7,10,0
2024-03-10,2024,3,Q1,10,Sunday,1,Spring,,0,Seasonal Promotion,21.9,10,0
2024-03-11,2024,3,Q1,11,Monday,0,Spring,,0,,20.2,11,0
2024-03-12,2024,3,Q1,11,Tuesday,0,Spring,,0,,20.6,11,0
2024-03-13,2024,3,Q1,11,Wednesday,0,Spring,,0,,21.1,11,0
2024-03-14,2024,3,Q1,11,Thursday,0,Spring,,0,,23.9,11,0
2024-03-15,2024,3,Q1,11,Friday,0,Spring,,0,,23.4,11,0
2024-03-16,2024,3,Q1,11,Saturday,1,Spring,,0,Seasonal Promotion,24.6,11,0
2024-03-17,2024,3,Q1,11,Sunday,1,Spring,,0,Seasonal Promotion,22.7,11,0
2024-03-18,2024,3,Q1,12,Monday,0,Spring,,0,,23.9,12,0
2024-03-19,2024,3,Q1,12,Tuesday,0,Spring,,0,,25.0,12,0
2024-03-20,2024,3,Q1,12,Wednesday,0,Spring,,0,,23.4,12,0
2024-03-21,2024,3,Q1,12,Thursday,0,Spring,,0,,25.0,12,0
2024-03-22,2024,3,Q1,12,Friday,0,Spring,,0,,23.2,12,0
2024-03-23,2024,3,Q1,12,Saturday,1,Spring,,0,Seasonal Promotion,23.9,12,0
2024-03-24,2024,3,Q1,12,Sunday,1,Spring,,0,Seasonal Promotion,24.0,12,0
2024-03-25,2024,3,Q1,13,Monday,0,Spring,,0,,22.7,13,0
2024-03-26,2024,3,Q1,13,Tuesday,0,Spring,,0,,25.9,13,0
2024-03-27,2024,3,Q1,13,Wednesday,0,Spring,,0,,24.4,13,0
2024-03-28,2024,3,Q1,13,Thursday,0,Spring,,0,,25.4,13,0
2024-03-29,2024,3,Q1,13,Friday,0,Spring,,0,,26.4,13,0
2024-03-30,2024,3,Q1,13,Saturday,1,Spring,,0,Seasonal Promotion,26.5,13,0
2024-03-31,2024,3,Q1,13,Sunday,1,Spring,,0,Seasonal Promotion,27.1,13,0
2024-04-01,2024,4,Q2,14,Monday,0,Spring,,0,,25.9,14,0
2024-04-02,2024,4,Q2,14,Tuesday,0,Spring,,0,,25.5,14,0
2024-04-03,2024,4,Q2,14,Wednesday,0,Spring,,0,,26.2,14,0
2024-04-04,2024,4,Q2,14,Thursday,0,Spring,,0,,23.5,14,0
2024-04-05,2024,4,Q2,14,Friday,0,Spring,,0,,24.1,14,0
2024-04-06,2024,4,Q2,14,Saturday,1,Spring,,0,,24.5,14,0
2024-04-07,2024,4,Q2,14,Sunday,1,Spring,,0,,25.3,14,0
2024-04-08,2024,4,Q2,15,Monday,0,Spring,,0,,27.9,15,0
2024-04-09,2024,4,Q2,15,Tuesday,0,Spring,,0,,25.7,15,0
2024-04-10,2024,4,Q2,15,Wednesday,0,Spring,,0,,26.9,15,0
2024-04-11,2024,4,Q2,15,Thursday,0,Spring,,0,,30.0,15,0
2024-04-12,2024,4,Q2,15,Friday,0,Spring,,0,,27.2,15,0
2024-04-13,2024,4,Q2,15,Saturday,1,Spring,,0,,29.3,15,0
2024-04-14,2024,4,Q2,15,Sunday,1,Spring,,0,,26.5,15,0
2024-04-15,2024,4,Q2,16,Monday,0,Spring,,0,,28.0,16,0
2024-04-16,2024,4,Q2,16,Tuesday,0,Spring,,0,,26.8,16,0
2024-04-17,2024,4,Q2,16,Wednesday,0,Spring,,0,,28.0,16,0
2024-04-18,2024,4,Q2,16,Thursday,0,Spring,,0,,30.3,16,0
2024-04-19,2024,4,Q2,16,Friday,0,Spring,,0,,25.8,16,0
2024-04-20,2024,4,Q2,16,Saturday,1,Spring,,0,,29.9,16,0
2024-04-21,2024,4,Q2,16,Sunday,1,Spring,,0,,29.7,16,0
2024-04-22,2024,4,Q2,17,Monday,0,Spring,,0,,28.3,17,0
2024-04-23,2024,4,Q2,17,Tuesday,0,Spring,,0,,26.9,17,0
2024-04-24,2024,4,Q2,17,Wednesday,0,Spring,,0,,29.8,17,0
2024-04-25,2024,4,Q2,17,Thursday,0,Spring,,0,,28.9,17,0
2024-04-26,2024,4,Q2,17,Friday,0,Spring,,0,,30.4,17,0
2024-04-27,2024,4,Q2,17,Saturday,1,Spring,,0,,30.1,17,0
2024-04-28,2024,4,Q2,17,Sunday,1,Spring,,0,,33.1,17,0
2024-04-29,2024,4,Q2,18,Monday,0,Spring,,0,,29.9,18,0
2024-04-30,2024,4,Q2,18,Tuesday,0,Spring,,0,,28.6,18,0
2024-05-01,2024,5,Q2,18,Wednesday,0,Summer,,0,,30.9,18,0
2024-05-02,2024,5,Q2,18,Thursday,0,Summer,,0,,31.1,18,0
2024-05-03,2024,5,Q2,18,Friday,0,Summer,,0,,33.3,18,0
2024-05-04,2024,5,Q2,18,Saturday,1,Summer,,0,,32.5,18,0
2024-05-05,2024,5,Q2,18,Sunday,1,Summer,,0,,31.8,18,0
2024-05-06,2024,5,Q2,19,Monday,0,Summer,,0,,33.9,19,0
2024-05-07,2024,5,Q2,19,Tuesday,0,Summer,,0,,29.2,19,0
2024-05-08,2024,5,Q2,19,Wednesday,0,Summer,,0,,30.3,19,0
2024-05-09,2024,5,Q2,19,Thursday,0,Summer,,0,,29.9,19,0
2024-05-10,2024,5,Q2,19,Friday,0,Summer,,0,,31.0,19,0
2024-05-11,2024,5,Q2,19,Saturday,1,Summer,,0,,29.3,19,0
2024-05-12,2024,5,Q2,19,Sunday,1,Summer,,0,,33.1,19,0
2024-05-13,2024,5,Q2,20,Monday,0,Summer,,0,,31.6,20,0
2024-05-14,2024,5,Q2,20,Tuesday,0,Summer,,0,,29.5,20,0
2024-05-15,2024,5,Q2,20,Wednesday,0,Summer,,0,,30.4,20,0
2024-05-16,2024,5,Q2,20,Thursday,0,Summer,,0,,32.9,20,0
2024-05-17,2024,5,Q2,20,Friday,0,Summer,,0,,33.9,20,0
2024-05-18,2024,5,Q2,20,Saturday,1,Summer,,0,,36.1,20,0
2024-05-19,2024,5,Q2,20,Sunday,1,Summer,,0,,37.8,20,0
2024-05-20,2024,5,Q2,21,Monday,0,Summer,,0,,33.4,21,0
2024-05-21,2024,5,Q2,21,Tuesday,0,Summer,,0,,31.0,21,0
2024-05-22,2024,5,Q2,21,Wednesday,0,Summer,,0,,29.0,21,0
2024-05-23,2024,5,Q2,21,Thursday,0,Summer,,0,,33.4,21,0
2024-05-24,2024,5,Q2,21,Friday,0,Summer,,0,,31.5,21,0
2024-05-25,2024,5,Q2,21,Saturday,1,Summer,,0,,32.3,21,0
2024-05-26,2024,5,Q2,21,Sunday,1,Summer,,0,,32.0,21,0
2024-05-27,2024,5,Q2,22,Monday,0,Summer,,0,,33.0,22,0
2024-05-28,2024,5,Q2,22,Tuesday,0,Summer,,0,,35.2,22,0
2024-05-29,2024,5,Q2,22,Wednesday,0,Summer,,0,,33.6,22,0
2024-05-30,2024,5,Q2,22,Thursday,0,Summer,,0,,33.1,22,0
2024-05-31,2024,5,Q2,22,Friday,0,Summer,,0,,31.6,22,0
2024-06-01,2024,6,Q2,22,Saturday,1,Summer,,0,Seasonal Promotion,30.5,22,0
2024-06-02,2024,6,Q2,22,Sunday,1,Summer,,0,Seasonal Promotion,32.7,22,0
2024-06-03,2024,6,Q2,23,Monday,0,Summer,,0,,33.5,23,0
2024-06-04,2024,6,Q2,23,Tuesday,0,Summer,,0,,36.8,23,0
2024-06-05,2024,6,Q2,23,Wednesday,0,Summer,,0,,33.9,23,0
2024-06-06,2024,6,Q2,23,Thursday,0,Summer,,0,,35.5,23,0
2024-06-07,2024,6,Q2,23,Friday,0,Summer,,0,,32.9,23,0
2024-06-08,2024,6,Q2,23,Saturday,1,Summer,,0,Seasonal Promotion,31.7,23,0
2024-06-09,2024,6,Q2,23,Sunday,1,Summer,,0,Seasonal Promotion,32.1,23,0
2024-06-10,2024,6,Q2,24,Monday,0,Summer,,0,,32.6,24,0
2024-06-11,2024,6,Q2,24,Tuesday,0,Summer,,0,,37.7,24,0
2024-06-12,2024,6,Q2,24,Wednesday,0,Summer,,0,,32.4,24,0
2024-06-13,2024,6,Q2,24,Thursday,0,Summer,,0,,35.5,24,0
2024-06-14,2024,6,Q2,24,Friday,0,Summer,,0,,32.3,24,0
2024-06-15,2024,6,Q2,24,Saturday,1,Summer,,0,Seasonal Promotion,35.7,24,0
2024-06-16,2024,6,Q2,24,Sunday,1,Summer,,0,Seasonal Promotion,34.7,24,0
2024-06-17,2024,6,Q2,25,Monday,0,Summer,,0,,33.7,25,0
2024-06-18,2024,6,Q2,25,Tuesday,0,Summer,,0,,33.9,25,0
2024-06-19,2024,6,Q2,25,Wednesday,0,Summer,,0,,32.8,25,0
2024-06-20,2024,6,Q2,25,Thursday,0,Summer,,0,,34.8,25,0
2024-06-21,2024,6,Q2,25,Friday,0,Summer,,0,,33.2,25,0
2024-06-22,2024,6,Q2,25,Saturday,1,Summer,,0,Seasonal Promotion,31.8,25,0
2024-06-23,2024,6,Q2,25,Sunday,1,Summer,,0,Seasonal Promotion,31.7,25,0
2024-06-24,2024,6,Q2,26,Monday,0,Summer,,0,,34.3,26,0
2024-06-25,2024,6,Q2,26,Tuesday,0,Summer,,0,,36.8,26,0
2024-06-26,2024,6,Q2,26,Wednesday,0,Summer,,0,,34.2,26,0
2024-06-27,2024,6,Q2,26,Thursday,0,Summer,,0,,33.7,26,0
2024-06-28,2024,6,Q2,26,Friday,0,Summer,,0,,34.4,26,0
2024-06-29,2024,6,Q2,26,Saturday,1,Summer,,0,Seasonal Promotion,36.2,26,0
2024-06-30,2024,6,Q2,26,Sunday,1,Summer,,0,Seasonal Promotion,34.2,26,0
2024-07-01,2024,7,Q3,27,Monday,0,Monsoon,,0,,33.1,27,0
2024-07-02,2024,7,Q3,27,Tuesday,0,Monsoon,,0,,35.8,27,0
2024-07-03,2024,7,Q3,27,Wednesday,0,Monsoon,,0,,34.5,27,0
2024-07-04,2024,7,Q3,27,Thursday,0,Monsoon,,0,,36.4,27,0
2024-07-05,2024,7,Q3,27,Friday,0,Monsoon,,0,,34.0,27,0
2024-07-06,2024,7,Q3,27,Saturday,1,Monsoon,,0,,31.4,27,0
2024-07-07,2024,7,Q3,27,Sunday,1,Monsoon,,0,,31.1,27,0
2024-07-08,2024,7,Q3,28,Monday,0,Monsoon,,0,,36.5,28,0
2024-07-09,2024,7,Q3,28,Tuesday,0,Monsoon,,0,,36.5,28,0
2024-07-10,2024,7,Q3,28,Wednesday,0,Monsoon,,0,,33.0,28,0
2024-07-11,2024,7,Q3,28,Thursday,0,Monsoon,,0,,32.6,28,0
2024-07-12,2024,7,Q3,28,Friday,0,Monsoon,,0,,35.9,28,0
2024-07-13,2024,7,Q3,28,Saturday,1,Monsoon,,0,,31.2,28,0
2024-07-14,2024,7,Q3,28,Sunday,1,Monsoon,,0,,31.5,28,0
2024-07-15,2024,7,Q3,29,Monday,0,Monsoon,,0,,34.2,29,0
2024-07-16,2024,7,Q3,29,Tuesday,0,Monsoon,,0,,32.2,29,0
2024-07-17,2024,7,Q3,29,Wednesday,0,Monsoon,,0,,32.9,29,0
2024-07-18,2024,7,Q3,29,Thursday,0,Monsoon,,0,,32.5,29,0
2024-07-19,2024,7,Q3,29,Friday,0,Monsoon,,0,,33.3,29,0
2024-07-20,2024,7,Q3,29,Saturday,1,Monsoon,,0,,35.2,29,0
2024-07-21,2024,7,Q3,29,Sunday,1,Monsoon,,0,,32.7,29,0
2024-07-22,2024,7,Q3,30,Monday,0,Monsoon,,0,,33.6,30,0
2024-07-23,2024,7,Q3,30,Tuesday,0,Monsoon,,0,,28.7,30,0
2024-07-24,2024,7,Q3,30,Wednesday,0,Monsoon,,0,,32.2,30,0
2024-07-25,2024,7,Q3,30,Thursday,0,Monsoon,,0,,30.6,30,0
2024-07-26,2024,7,Q3,30,Friday,0,Monsoon,,0,,29.9,30,0
2024-07-27,2024,7,Q3,30,Saturday,1,Monsoon,,0,,30.4,30,0
2024-07-28,2024,7,Q3,30,Sunday,1,Monsoon,,0,,31.3,30,0
2024-07-29,2024,7,Q3,31,Monday,0,Monsoon,,0,,33.4,31,0
2024-07-30,2024,7,Q3,31,Tuesday,0,Monsoon,,0,,29.3,31,0
2024-07-31,2024,7,Q3,31,Wednesday,0,Monsoon,,0,,31.6,31,0
2024-08-01,2024,8,Q3,31,Thursday,0,Monsoon,,0,,30.5,31,0
2024-08-02,2024,8,Q3,31,Friday,0,Monsoon,,0,,30.7,31,0
2024-08-03,2024,8,Q3,31,Saturday,1,Monsoon,,0,,33.0,31,0
2024-08-04,2024,8,Q3,31,Sunday,1,Monsoon,,0,,32.0,31,0
2024-08-05,2024,8,Q3,32,Monday,0,Monsoon,,0,,33.3,32,0
2024-08-06,2024,8,Q3,32,Tuesday,0,Monsoon,,0,,30.5,32,0
2024-08-07,2024,8,Q3,32,Wednesday,0,Monsoon,,0,,29.4,32,0
2024-08-08,2024,8,Q3,32,Thursday,0,Monsoon,,0,,30.1,32,0
2024-08-09,2024,8,Q3,32,Friday,0,Monsoon,,0,,30.9,32,0
2024-08-10,2024,8,Q3,32,Saturday,1,Monsoon,,0,,30.6,32,0
2024-08-11,2024,8,Q3,32,Sunday,1,Monsoon,,0,,28.2,32,0
2024-08-12,2024,8,Q3,33,Monday,0,Monsoon,,0,,30.2,33,0
2024-08-13,2024,8,Q3,33,Tuesday,0,Monsoon,,0,,30.3,33,0
2024-08-14,2024,8,Q3,33,Wednesday,0,Monsoon,,0,,34.3,33,0
2024-08-15,2024,8,Q3,33,Thursday,0,Monsoon,Independence Day,1,,33.0,33,0
2024-08-16,2024,8,Q3,33,Friday,0,Monsoon,,0,,27.9,33,0
2024-08-17,2024,8,Q3,33,Saturday,1,Monsoon,,0,,28.8,33,0
2024-08-18,2024,8,Q3,33,Sunday,1,Monsoon,,0,,26.5,33,0
2024-08-19,2024,8,Q3,34,Monday,0,Monsoon,,0,,27.9,34,0
2024-08-20,2024,8,Q3,34,Tuesday,0,Monsoon,,0,,29.4,34,0
2024-08-21,2024,8,Q3,34,Wednesday,0,Monsoon,,0,,30.9,34,0
2024-08-22,2024,8,Q3,34,Thursday,0,Monsoon,,0,,27.2,34,0
2024-08-23,2024,8,Q3,34,Friday,0,Monsoon,,0,,27.2,34,0
2024-08-24,2024,8,Q3,34,Saturday,1,Monsoon,,0,,24.4,34,0
2024-08-25,2024,8,Q3,34,Sunday,1,Monsoon,,0,,27.8,34,0
2024-08-26,2024,8,Q3,35,Monday,0,Monsoon,,0,,26.0,35,0
2024-08-27,2024,8,Q3,35,Tuesday,0,Monsoon,,0,,26.8,35,0
2024-08-28,2024,8,Q3,35,Wednesday,0,Monsoon,,0,,26.0,35,0
2024-08-29,2024,8,Q3,35,Thursday,0,Monsoon,,0,,27.3,35,0
2024-08-30,2024,8,Q3,35,Friday,0,Monsoon,,0,,24.1,35,0
2024-08-31,2024,8,Q3,35,Saturday,1,Monsoon,,0,,24.5,35,0
2024-09-01,2024,9,Q3,35,Sunday,1,Monsoon,,0,Seasonal Promotion,30.8,35,0
2024-09-02,2024,9,Q3,36,Monday,0,Monsoon,,0,,24.5,36,0
2024-09-03,2024,9,Q3,36,Tuesday,0,Monsoon,,0,,24.7,36,0
2024-09-04,2024,9,Q3,36,Wednesday,0,Monsoon,,0,,29.8,36,0
2024-09-05,2024,9,Q3,36,Thursday,0,Monsoon,,0,,31.5,36,0
2024-09-06,2024,9,Q3,36,Friday,0,Monsoon,,0,,24.0,36,0
2024-09-07,2024,9,Q3,36,Saturday,1,Monsoon,,0,Seasonal Promotion,25.3,36,0
2024-09-08,2024,9,Q3,36,Sunday,1,Monsoon,,0,Seasonal Promotion,26.4,36,0
2024-09-09,2024,9,Q3,37,Monday,0,Monsoon,,0,,28.7,37,0
2024-09-10,2024,9,Q3,37,Tuesday,0,Monsoon,,0,,23.7,37,0
2024-09-11,2024,9,Q3,37,Wednesday,0,Monsoon,,0,,24.8,37,0
2024-09-12,2024,9,Q3,37,Thursday,0,Monsoon,,0,,26.5,37,0
2024-09-13,2024,9,Q3,37,Friday,0,Monsoon,,0,,25.7,37,0
2024-09-14,2024,9,Q3,37,Saturday,1,Monsoon,,0,Seasonal Promotion,24.1,37,0
2024-09-15,2024,9,Q3,37,Sunday,1,Monsoon,,0,Seasonal Promotion,24.4,37,0
2024-09-16,2024,9,Q3,38,Monday,0,Monsoon,,0,,22.0,38,0
2024-09-17,2024,9,Q3,38,Tuesday,0,Monsoon,,0,,23.8,38,0
2024-09-18,2024,9,Q3,38,Wednesday,0,Monsoon,,0,,23.6,38,0
2024-09-19,2024,9,Q3,38,Thursday,0,Monsoon,,0,,24.3,38,0
2024-09-20,2024,9,Q3,38,Friday,0,Monsoon,,0,,22.7,38,0
2024-09-21,2024,9,Q3,38,Saturday,1,Monsoon,,0,Seasonal Promotion,24.4,38,0
2024-09-22,2024,9,Q3,38,Sunday,1,Monsoon,,0,Seasonal Promotion,25.2,38,0
2024-09-23,2024,9,Q3,39,Monday,0,Monsoon,,0,,23.5,39,0
2024-09-24,2024,9,Q3,39,Tuesday,0,Monsoon,,0,,23.7,39,0
2024-09-25,2024,9,Q3,39,Wednesday,0,Monsoon,,0,,23.0,39,0
2024-09-26,2024,9,Q3,39,Thursday,0,Monsoon,,0,,22.7,39,0
2024-09-27,2024,9,Q3,39,Friday,0,Monsoon,,0,,21.2,39,0
2024-09-28,2024,9,Q3,39,Saturday,1,Monsoon,,0,Seasonal Promotion,22.9,39,0
2024-09-29,2024,9,Q3,39,Sunday,1,Monsoon,,0,Seasonal Promotion,22.0,39,0
2024-09-30,2024,9,Q3,40,Monday,0,Monsoon,,0,,25.8,40,0
2024-10-01,2024,10,Q4,40,Tuesday,0,Autumn,,0,,24.7,40,0
2024-10-02,2024,10,Q4,40,Wednesday,0,Autumn,,0,,22.4,40,0
2024-10-03,2024,10,Q4,40,Thursday,0,Autumn,,0,,20.2,40,0
2024-10-04,2024,10,Q4,40,Friday,0,Autumn,,0,,19.4,40,0
2024-10-05,2024,10,Q4,40,Saturday,1,Autumn,,0,,23.3,40,0
2024-10-06,2024,10,Q4,40,Sunday,1,Autumn,,0,,21.5,40,0
2024-10-07,2024,10,Q4,41,Monday,0,Autumn,,0,,21.7,41,0
2024-10-08,2024,10,Q4,41,Tuesday,0,Autumn,,0,,17.6,41,0
2024-10-09,2024,10,Q4,41,Wednesday,0,Autumn,,0,,22.2,41,0
2024-10-10,2024,10,Q4,41,Thursday,0,Autumn,,0,,21.2,41,0
2024-10-11,2024,10,Q4,41,Friday,0,Autumn,,0,,18.2,41,0
2024-10-12,2024,10,Q4,41,Saturday,1,Autumn,,0,,19.2,41,0
2024-10-13,2024,10,Q4,41,Sunday,1,Autumn,,0,,20.4,41,0
2024-10-14,2024,10,Q4,42,Monday,0,Autumn,,0,,19.8,42,0
2024-10-15,2024,10,Q4,42,Tuesday,0,Autumn,,0,,19.1,42,0
2024-10-16,2024,10,Q4,42,Wednesday,0,Autumn,,0,,19.3,42,0
2024-10-17,2024,10,Q4,42,Thursday,0,Autumn,,0,,18.8,42,0
2024-10-18,2024,10,Q4,42,Friday,0,Autumn,,0,,19.4,42,0
2024-10-19,2024,10,Q4,42,Saturday,1,Autumn,,0,,21.6,42,0
2024-10-20,2024,10,Q4,42,Sunday,1,Autumn,,0,,14.2,42,0
2024-10-21,2024,10,Q4,43,Monday,0,Autumn,,0,,18.3,43,0
2024-10-22,2024,10,Q4,43,Tuesday,0,Autumn,,0,,18.9,43,0
2024-10-23,2024,10,Q4,43,Wednesday,0,Autumn,,0,,18.9,43,0
2024-10-24,2024,10,Q4,43,Thursday,0,Autumn,,0,,17.6,43,0
2024-10-25,2024,10,Q4,43,Friday,0,Autumn,,0,,15.0,43,0
2024-10-26,2024,10,Q4,43,Saturday,1,Autumn,,0,,18.6,43,0
2024-10-27,2024,10,Q4,43,Sunday,1,Autumn,,0,,21.0,43,0
2024-10-28,2024,10,Q4,44,Monday,0,Autumn,,0,,15.0,44,0
2024-10-29,2024,10,Q4,44,Tuesday,0,Autumn,,0,,19.1,44,0
2024-10-30,2024,10,Q4,44,Wednesday,0,Autumn,,0,,16.9,44,0
2024-10-31,2024,10,Q4,44,Thursday,0,Autumn,Diwali,1,,17.2,44,0
2024-11-01,2024,11,Q4,44,Friday,0,Autumn,,0,,15.3,44,1
2024-11-02,2024,11,Q4,44,Saturday,1,Autumn,,0,Seasonal Promotion,16.5,44,1
2024-11-03,2024,11,Q4,44,Sunday,1,Autumn,,0,Seasonal Promotion,19.3,44,1
2024-11-04,2024,11,Q4,45,Monday,0,Autumn,,0,,17.9,45,1
2024-11-05,2024,11,Q4,45,Tuesday,0,Autumn,,0,,19.8,45,1
2024-11-06,2024,11,Q4,45,Wednesday,0,Autumn,,0,,18.7,45,1
2024-11-07,2024,11,Q4,45,Thursday,0,Autumn,,0,,17.3,45,1
2024-11-08,2024,11,Q4,45,Friday,0,Autumn,,0,,19.5,45,1
2024-11-09,2024,11,Q4,45,Saturday,1,Autumn,,0,Seasonal Promotion,17.0,45,1
2024-11-10,2024,11,Q4,45,Sunday,1,Autumn,,0,Seasonal Promotion,17.6,45,1
2024-11-11,2024,11,Q4,46,Monday,0,Autumn,,0,,15.5,46,1
2024-11-12,2024,11,Q4,46,Tuesday,0,Autumn,,0,,16.1,46,1
2024-11-13,2024,11,Q4,46,Wednesday,0,Autumn,,0,,14.6,46,1
2024-11-14,2024,11,Q4,46,Thursday,0,Autumn,,0,,17.5,46,1
2024-11-15,2024,11,Q4,46,Friday,0,Autumn,,0,,13.5,46,1
2024-11-16,2024,11,Q4,46,Saturday,1,Autumn,,0,Seasonal Promotion,17.0,46,1
2024-11-17,2024,11,Q4,46,Sunday,1,Autumn,,0,Seasonal Promotion,15.1,46,1
2024-11-18,2024,11,Q4,47,Monday,0,Autumn,,0,,17.5,47,1
2024-11-19,2024,11,Q4,47,Tuesday,0,Autumn,,0,,16.6,47,1
